cu_base_index,cu_charge_rt,cu_etn_yn,cu_fund_mgmt_co,cu_index_repl_mthd,cu_index_tracking_yn,cu_inverse_short_yn,cu_lev_fector,cu_strtegy,cu_upt_dt,du_base_dt_match_yn,du_bpr,du_clpr,du_clpr_base_dt,du_clpr_src,du_diff_rt,du_er_1d,du_hpr,du_last_aum,du_last_nav,du_lpr,du_nav_base_dt,du_opr,du_upt_dt,du_val_1d,du_vol_1d,pd_abrv_nm,pd_curr_cd,pd_exg_mkt_cd,pd_grp_no,pd_isin_cd,pd_itm_no,pd_itm_no_ma,pd_lipper_id,pd_lstg_dt,pd_lst_price,pd_lst_stk_cnt,pd_mkt_id,pd_nm,pd_sale_yn,pd_trd_ccy,pd_tr_yn,pd_us_cik,ru_mkt_price,ru_mkt_volume,wu_core_yn,wu_inv_ast_type,wu_inv_rgn,wu_upt_dt
Index is not available on Lipper Database,0.000000,,Van Eck Associates Corp,Optimized,Y,,,"The Fund seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the ChiNext Index. The Fund normally invests at least 80% of its assets in the securities of the Index, which intends to track the performance of the 100 largest and most liquid stocks on the ChiNext Market.",20260614,N,54.48000000,57.74000000,20260616,pd65n101.tday_clpr,,0.000000,57.74000000,137630000.00,55.052000,57.30000000,2026-06-14 00:00:00,57.55000000,20260616,2318891.00000000,40305.00000000,CNXT,USD,AMX,ETF,US92189F6271,CNXT.K,CNXT.K,40208422,20140723,0E-8,2500000.00,US,VanEck ChiNext Innovators ETF,1,USD,0,1137360,57.74000000,40305.00000000,,Equity,China,20260614
Index is not provided by Management Company,1.490000,,AXS Investments LLC,,,Y,,The Fund seeks daily inverse leveraged investment results and is very different from most other exchange-traded funds. The Funds objective is to magnify the inverse (-200%) daily performance of the common shares of Sandisk Corp. (Nasdaq: SNDK) and will maintain at least 80% exposure to financial instruments.,20260614,N,3.73000000,3.25000000,20260616,pd65n101.tday_clpr,,0.000000,3.58000000,79270000.00,,3.22000000,2026-06-14 00:00:00,3.30000000,20260616,127067673.00000000,38098888.00000000,SNDQ,USD,AMX,ETF,US46152A3611,SNDQ.K,SNDQ.K,40306589,20260422,0E-8,21220000.00,US,Tradr 2X Short SNDK Daily ETF,1,USD,0,1587982,3.25000000,38098888.00000000,,Alternatives,United States of America,20260614
SPADE Defense TR USD,0.500000,,Invesco Capital Management LLC,Optimized,Y,,,"""The Fund seeks to track the investment results (before fees and expenses) of the SPADE Defense Index (the """"Underlying Index""""). The Fund generally will invest at least 90% of its total assets in common stocks of that comprise the Underlying Index in proportion to their weightings in the Underlying Index.""",20260614,N,174.13000000,175.81000000,20260616,pd65n101.tday_clpr,,0.000000,177.00000000,,,175.48000000,2026-06-14 00:00:00,176.55000000,20260616,30683840.00000000,173951.00000000,PPA,USD,AMX,ETF,US46137V1008,PPA,PPA,40104966,20051026,0E-8,47090000.00,US,Invesco Aerospace & Defense ETF,1,USD,0,1209466,175.81000000,173951.00000000,,Equity,United States of America,20260614
Index is not provided by Management Company,0.000000,,Rex Advisers LLC,,,,,The Fund seeks to pay weekly distributions. The Fund invests at least 80% of its net assets in shares of its respective Underlying Security investments that provide exposure to its respective Underlying Security or income-producing investments tied to its respective Underlying Security and are considered growth companies.,20260614,N,23.22430000,22.55010000,20260609,pd65n101.tday_clpr,,,23.41000000,2790000.00,23.250000,21.80000000,2026-06-14 00:00:00,23.22000000,20260610,111248.00000000,4948.00000000,GIF,USD,AMX,ETF,US7615628341,GIF,GIF,40306005,20260225,0E-8,120000.00,US,REX Growth & Income Universe ETF,1,USD,0,2043954,22.55010000,4948.00000000,,Alternatives,United States of America,20260614
Index is not provided by Management Company,1.300000,,AXS Investments LLC,,,,,"The Fund seeks daily investment results, before fees and expenses, that correspond to two times (200%) the daily performance of the common shares of Celestica, Inc. The Fund will maintain at least 80% exposure to financial instruments that provide two times leveraged exposure to the daily performance of CLS.",20260614,N,22.41000000,23.43000000,20260616,pd65n101.tday_clpr,,0.000000,24.43000000,,,22.40000000,2026-06-14 00:00:00,23.96500000,20260616,1894539.00000000,81831.00000000,CSEX,USD,AMX,ETF,US46092D3686,CSEX.K,CSEX.K,40305097,20251112,0E-8,720000.00,US,Tradr 2X Long CLS Daily ETF,1,USD,0,1587982,23.43000000,81831.00000000,,Alternatives,Global,20260614
Syntax Defined Volatility XLC USD,0.850000,,WEBS INVESTMENTS INC.,Swap,Y,,,"The Fund seeks to provide investment results that, before fees & expenses, correspond to the performance of the Syntax Defined Volatility XLC Index. The Fund implements its investment objective by investing at least 80% of its net assets in financial instruments that achieve the investment results of the Index.",20260614,N,25.07350000,25.00000000,20260616,pd65n101.tday_clpr,,0.000000,24.80810000,240000.00,24.000000,24.80810000,2026-06-14 00:00:00,24.80810000,20260613,0E-8,0E-8,DVXC,USD,NAS,ETF,US87166N7755,DVXC.O,DVXC.O,40304197,20250722,0E-8,10000.00,US,WEBs Communication Services XLC Defined Vol ETF,1,USD,0,1580843,24.80810000,0E-8,,Equity,United States of America,20260614
ICE BofA National LT Core Pl Muni Sec TR,0.280000,,Invesco Capital Management LLC,Optimized,Y,,,The Fund seeks investment results that correspond generally to the price and yield performance of the Merrill Lynch US Insured Core Municipal Securities Index. The Fund will normally invest at least 80% of its total assets in insured municipal securities that are exempt from federal income tax.,20260614,N,23.36000000,23.39000000,20260616,pd65n101.tday_clpr,,0.000000,23.42000000,4200450000.00,,23.37000000,2026-06-14 00:00:00,23.42000000,20260616,18021089.00000000,770297.00000000,PZA,USD,AMX,ETF,US46138E5371,PZA,PZA,40116485,20071011,0E-8,180000000.00,US,Invesco National AMT-Free Municipal Bond ETF,1,USD,0,1378872,23.39000000,770297.00000000,,Bond,United States of America,20260614
FTSE China Capped NR USD,0.190000,,Franklin Advisory Services LLC,Optimized,Y,,,The Fund seeks to provide investment results that closely correspond to the performance of the FTSE China RIC Capped Index. The Fund invests at least 80% of its assets in the component securities of the Underlying Index designed to measure the performance of Chinese large- and mid-capitalization stocks.,20260614,N,21.83000000,22.08000000,20260616,pd65n101.tday_clpr,,0.000000,22.12000000,271350000.00,,22.03000000,2026-06-14 00:00:00,22.09000000,20260616,341657.00000000,15474.00000000,FLCH,USD,AMX,ETF,US35473P8196,FLCH.K,FLCH.K,40222322,20171102,0E-8,12400000.00,US,Franklin FTSE China ETF,1,USD,0,1655589,22.08000000,15474.00000000,,Equity,China,20260614
Bloomberg US 1-5 Yr Corporate Bond TR,0.750000,,Liquid Strategies LLC,,,,,"The Fund seeks total return. The Fund seeks to achieve its objective by investing in ETFs that seek exposure to the performance of short-term, investment grade, US dollar-denominated, fixed-rate taxable bonds with an average maturity of no more than three years and by selling and purchasing listed short-term put options.",20260614,N,21.88000000,21.92780000,20260616,pd65n101.tday_clpr,,0.000000,21.96000000,60170000.00,21.880000,21.91000000,2026-06-14 00:00:00,21.96000000,20260616,241036.00000000,10995.00000000,OVT,USD,AMX,ETF,US53656F5733,OVT,OVT,40231317,20210114,0E-8,2750000.00,US,Overlay Shares Short Term Bond ETF,1,USD,0,1683471,21.92780000,10995.00000000,,Bond,United States of America,20260614
Index is not available on Lipper Database,0.040000,,BNY Mellon ETF Investment Adviser LLC,Optimized,Y,,,"The Fund seeks to track the performance of the Morningstar Developed Markets ex-US Large Cap Index which is designed to measure the performance of developed market large-capitalization stocks. Under normal circumstances, the fund generally invests in a representative sample of the securities comprising the index.",20260614,N,100.53300000,101.06000000,20260616,pd65n101.tday_clpr,,0.000000,101.99000000,1235610000.00,,100.92340000,2026-06-14 00:00:00,101.99000000,20260616,1879619.00000000,18557.00000000,BKIE,USD,AMX,ETF,US09661T4040,BKIE.K,BKIE.K,40229279,20200422,0E-8,12350000.00,US,BNY Mellon International Equity ETF,1,USD,0,1493580,101.06000000,18557.00000000,,Equity,Global Ex US,20260614
